121.82392833,30.07821500,
121.82382440,30.07821949,
121.82372422,30.07819817,
121.82362483,30.07817133,
121.82352545,30.07814449,
121.82342606,30.07811766,
121.82332668,30.07809082,
121.82322730,30.07806399,
121.82312734,30.07803879,
121.82302763,30.07801292,
121.82292850,30.07798538,
121.82282937,30.07795785,
121.82272751,30.07794175,
121.82262396,30.07793513,
121.82252055,30.07794497,
121.82241691,30.07795292,
121.82231326,30.07796087,
121.82221233,30.07798117,
121.82211244,30.07800617,
121.82201254,30.07803116,
121.82192015,30.07807065,
121.82183188,30.07811807,
121.82174360,30.07816549,
121.82165533,30.07821291,
121.82156705,30.07826033,
121.82147948,30.07830866,
121.82139427,30.07836008,
121.82130906,30.07841149,
121.82122385,30.07846291,
121.82113864,30.07851433,
121.82105349,30.07856583,
121.82096888,30.07861798,
121.82088426,30.07867012,
121.82079965,30.07872227,
121.82071504,30.07877442,
121.82062498,30.07881742,
121.82052649,30.07884626,
121.82042800,30.07887510,
121.82032950,30.07890393,
121.82023101,30.07893277,
121.82013106,30.07895702,
121.82002920,30.07897522,
121.81992733,30.07899341,
121.81982546,30.07901161,
121.81972359,30.07902981,
121.81962016,30.07903863,
121.81951642,30.07904562,
121.81941269,30.07905261,
121.81930895,30.07905960,
121.81920521,30.07906660,
121.81910137,30.07907209,
121.81899740,30.07907592,
121.81889344,30.07907975,
121.81878947,30.07908358,
121.81868551,30.07908741,
121.81858155,30.07909124,
121.81847758,30.07909511,
121.81837362,30.07909899,
121.81826966,30.07910287,
121.81816570,30.07910674,
121.81806171,30.07911005,
121.81795768,30.07911240,
121.81785366,30.07911475,
121.81774963,30.07911710,
121.81764561,30.07911945,
121.81754158,30.07912181,
121.81743755,30.07912419,
121.81733353,30.07912657,
121.81722950,30.07912896,
121.81712548,30.07913134,
121.81702151,30.07913466,
121.81691766,30.07914037,
121.81681382,30.07914609,
121.81670998,30.07915180,
121.81660614,30.07915752,
121.81650229,30.07916324,
121.81639846,30.07916901,
121.81629462,30.07917478,
121.81619078,30.07918055,
121.81608694,30.07918631,
121.81598311,30.07919208,
121.81587923,30.07918799,
121.81577534,30.07918255,
121.81567145,30.07917710,
121.81556756,30.07917165,
121.81546373,30.07916574,
121.81536040,30.07915484,
121.81525708,30.07914393,
121.81515376,30.07913302,
121.81505044,30.07912212,
121.81494712,30.07911121,
121.81484428,30.07909740,
121.81474154,30.07908291,
121.81463880,30.07906842,
121.81453607,30.07905394,
121.81443333,30.07903945,
121.81433060,30.07902493,
121.81422787,30.07901041,
121.81412514,30.07899589,
121.81402241,30.07898137,
121.81391969,30.07896685,
121.81381623,30.07895761,
121.81371247,30.07895063,
121.81360870,30.07894365,
121.81350494,30.07893667,
121.81340118,30.07892969,
121.81329741,30.07892267,
121.81319365,30.07891565,
121.81308989,30.07890863,
121.81298613,30.07890162,
121.81288237,30.07889470,
121.81277831,30.07889353,
121.81267426,30.07889236,
121.81257020,30.07889119,
121.81246615,30.07889002,
121.81236209,30.07888892,
121.81225804,30.07888976,
121.81215399,30.07889060,
121.81204993,30.07889144,
121.81194588,30.07889228,
121.81184182,30.07889312,
121.81173819,30.07890026,
121.81163470,30.07890943,
121.81153120,30.07891860,
121.81142771,30.07892777,
121.81132421,30.07893694,
121.81122072,30.07894612,
121.81111723,30.07895530,
121.81101374,30.07896448,
121.81091024,30.07897366,
121.81080675,30.07898284,
121.81070313,30.07898284,
121.81059941,30.07897543,
121.81049569,30.07896802,
121.81039197,30.07896061,
121.81028825,30.07895321,
121.81018453,30.07894582,
121.81008081,30.07893843,
121.80997709,30.07893104,
121.80987336,30.07892365,
121.80976964,30.07891626,
121.80966579,30.07891055,
121.80956191,30.07890509,
121.80945803,30.07889963,
121.80935416,30.07889417,
121.80925028,30.07888889,
121.80914622,30.07888889,
121.80904217,30.07888889,
121.80893811,30.07888889,
121.80883406,30.07888889,
121.80873002,30.07888928,
121.80862641,30.07889743,
121.80852281,30.07890558,
121.80841920,30.07891373,
121.80831559,30.07892187,
121.80821199,30.07893002,
121.80810838,30.07893819,
121.80800478,30.07894636,
121.80790118,30.07895454,
121.80779757,30.07896271,
121.80769376,30.07896621,
121.80758972,30.07896468,
121.80748568,30.07896315,
121.80738163,30.07896163,
121.80727759,30.07896011,
121.80717355,30.07895858,
121.80706951,30.07895706,
121.80696547,30.07895553,
121.80686143,30.07895401,
121.80675739,30.07895248,
121.80665335,30.07895096,
121.80654932,30.07895131,
121.80644530,30.07895317,
121.80634128,30.07895503,
121.80623725,30.07895689,
121.80613323,30.07895844,
121.80602921,30.07895621,
121.80592518,30.07895398,
121.80582116,30.07895175,
121.80571714,30.07894952,
121.80561312,30.07894772,
121.80550911,30.07895012,
121.80540511,30.07895251,
121.80530110,30.07895490,
121.80519709,30.07895730,
121.80509309,30.07895969,
121.80498908,30.07896209,
121.80488508,30.07896449,
121.80478107,30.07896689,
121.80467707,30.07896929,
121.80457312,30.07896951,
121.80446934,30.07896295,
121.80436555,30.07895638,
121.80426177,30.07894981,
121.80415799,30.07894324,
121.80405421,30.07893668,
121.80395042,30.07893016,
121.80384664,30.07892365,
121.80374285,30.07891713,
121.80363907,30.07891061,
121.80353526,30.07890464,
121.80343122,30.07890386,
121.80332718,30.07890307,
121.80322314,30.07890228,
121.80311909,30.07890150,
121.80301505,30.07890072,
121.80291101,30.07889998,
121.80280697,30.07889924,
121.80270293,30.07889849,
121.80259889,30.07889775,
121.80249485,30.07889697,
121.80239081,30.07889610,
121.80228677,30.07889523,
121.80218274,30.07889436,
121.80207870,30.07889349,
