channel_index,phase_index,phase_time,phase_score,phase_type
165,1229,2025-04-23T12:32:42.290,0.395,S
165,1233,2025-04-23T12:32:42.330,0.328,P
165,1256,2025-04-23T12:32:42.560,0.984,P
165,1265,2025-04-23T12:32:42.650,0.445,S
166,1230,2025-04-23T12:32:42.300,0.389,S
166,1233,2025-04-23T12:32:42.330,0.328,P
166,1256,2025-04-23T12:32:42.560,0.984,P
166,1265,2025-04-23T12:32:42.650,0.455,S
167,1230,2025-04-23T12:32:42.300,0.379,S
167,1233,2025-04-23T12:32:42.330,0.328,P
167,1256,2025-04-23T12:32:42.560,0.984,P
167,1264,2025-04-23T12:32:42.640,0.465,S
168,1230,2025-04-23T12:32:42.300,0.373,S
168,1233,2025-04-23T12:32:42.330,0.328,P
168,1256,2025-04-23T12:32:42.560,0.984,P
168,1264,2025-04-23T12:32:42.640,0.471,S
169,1230,2025-04-23T12:32:42.300,0.369,S
169,1233,2025-04-23T12:32:42.330,0.328,P
169,1256,2025-04-23T12:32:42.560,0.980,P
169,1264,2025-04-23T12:32:42.640,0.475,S
170,1230,2025-04-23T12:32:42.300,0.373,S
170,1233,2025-04-23T12:32:42.330,0.328,P
170,1256,2025-04-23T12:32:42.560,0.984,P
170,1265,2025-04-23T12:32:42.650,0.475,S
171,1230,2025-04-23T12:32:42.300,0.381,S
171,1233,2025-04-23T12:32:42.330,0.328,P
171,1256,2025-04-23T12:32:42.560,0.984,P
171,1265,2025-04-23T12:32:42.650,0.473,S
172,1230,2025-04-23T12:32:42.300,0.385,S
172,1233,2025-04-23T12:32:42.330,0.328,P
172,1256,2025-04-23T12:32:42.560,0.984,P
172,1265,2025-04-23T12:32:42.650,0.467,S
173,1230,2025-04-23T12:32:42.300,0.391,S
173,1233,2025-04-23T12:32:42.330,0.328,P
173,1256,2025-04-23T12:32:42.560,0.980,P
173,1265,2025-04-23T12:32:42.650,0.455,S
174,1230,2025-04-23T12:32:42.300,0.385,S
174,1233,2025-04-23T12:32:42.330,0.328,P
174,1256,2025-04-23T12:32:42.560,0.980,P
174,1265,2025-04-23T12:32:42.650,0.441,S
175,1230,2025-04-23T12:32:42.300,0.377,S
175,1233,2025-04-23T12:32:42.330,0.328,P
175,1256,2025-04-23T12:32:42.560,0.980,P
175,1265,2025-04-23T12:32:42.650,0.428,S
175,1281,2025-04-23T12:32:42.810,0.350,S
176,1230,2025-04-23T12:32:42.300,0.367,S
176,1233,2025-04-23T12:32:42.330,0.328,P
176,1256,2025-04-23T12:32:42.560,0.977,P
176,1265,2025-04-23T12:32:42.650,0.410,S
176,1274,2025-04-23T12:32:42.740,0.326,P
176,1281,2025-04-23T12:32:42.810,0.381,S
177,1230,2025-04-23T12:32:42.300,0.354,S
177,1233,2025-04-23T12:32:42.330,0.328,P
177,1256,2025-04-23T12:32:42.560,0.973,P
177,1265,2025-04-23T12:32:42.650,0.393,S
177,1274,2025-04-23T12:32:42.740,0.324,P
177,1281,2025-04-23T12:32:42.810,0.418,S
178,1230,2025-04-23T12:32:42.300,0.348,S
178,1233,2025-04-23T12:32:42.330,0.328,P
178,1256,2025-04-23T12:32:42.560,0.965,P
178,1265,2025-04-23T12:32:42.650,0.375,S
178,1281,2025-04-23T12:32:42.810,0.455,S
179,1230,2025-04-23T12:32:42.300,0.348,S
179,1233,2025-04-23T12:32:42.330,0.328,P
179,1255,2025-04-23T12:32:42.550,0.953,P
179,1281,2025-04-23T12:32:42.810,0.480,S
180,1230,2025-04-23T12:32:42.300,0.348,S
180,1233,2025-04-23T12:32:42.330,0.328,P
180,1255,2025-04-23T12:32:42.550,0.945,P
180,1281,2025-04-23T12:32:42.810,0.494,S
181,1230,2025-04-23T12:32:42.300,0.350,S
181,1233,2025-04-23T12:32:42.330,0.328,P
181,1255,2025-04-23T12:32:42.550,0.938,P
181,1281,2025-04-23T12:32:42.810,0.492,S
182,1230,2025-04-23T12:32:42.300,0.346,S
182,1255,2025-04-23T12:32:42.550,0.930,P
182,1278,2025-04-23T12:32:42.780,0.496,S
183,1231,2025-04-23T12:32:42.310,0.342,S
183,1255,2025-04-23T12:32:42.550,0.918,P
183,1277,2025-04-23T12:32:42.770,0.523,S
184,1231,2025-04-23T12:32:42.310,0.338,S
184,1256,2025-04-23T12:32:42.560,0.910,P
184,1277,2025-04-23T12:32:42.770,0.535,S
185,1231,2025-04-23T12:32:42.310,0.334,S
185,1256,2025-04-23T12:32:42.560,0.906,P
185,1277,2025-04-23T12:32:42.770,0.539,S
186,1232,2025-04-23T12:32:42.320,0.336,S
186,1256,2025-04-23T12:32:42.560,0.906,P
186,1276,2025-04-23T12:32:42.760,0.527,S
187,1231,2025-04-23T12:32:42.310,0.340,S
187,1256,2025-04-23T12:32:42.560,0.906,P
187,1276,2025-04-23T12:32:42.760,0.512,S
188,1231,2025-04-23T12:32:42.310,0.344,S
188,1256,2025-04-23T12:32:42.560,0.910,P
188,1276,2025-04-23T12:32:42.760,0.484,S
189,1230,2025-04-23T12:32:42.300,0.350,S
189,1256,2025-04-23T12:32:42.560,0.910,P
189,1276,2025-04-23T12:32:42.760,0.449,S
190,1230,2025-04-23T12:32:42.300,0.348,S
190,1256,2025-04-23T12:32:42.560,0.910,P
190,1276,2025-04-23T12:32:42.760,0.416,S
191,1231,2025-04-23T12:32:42.310,0.344,S
191,1256,2025-04-23T12:32:42.560,0.906,P
191,1277,2025-04-23T12:32:42.770,0.395,S
192,1231,2025-04-23T12:32:42.310,0.338,S
192,1256,2025-04-23T12:32:42.560,0.895,P
192,1280,2025-04-23T12:32:42.800,0.395,S
193,1232,2025-04-23T12:32:42.320,0.334,S
193,1256,2025-04-23T12:32:42.560,0.867,P
193,1281,2025-04-23T12:32:42.810,0.428,S
194,1233,2025-04-23T12:32:42.330,0.334,S
194,1250,2025-04-23T12:32:42.500,0.840,P
194,1281,2025-04-23T12:32:42.810,0.459,S
195,1235,2025-04-23T12:32:42.350,0.336,S
195,1250,2025-04-23T12:32:42.500,0.855,P
195,1281,2025-04-23T12:32:42.810,0.480,S
196,1235,2025-04-23T12:32:42.350,0.336,S
196,1250,2025-04-23T12:32:42.500,0.863,P
196,1280,2025-04-23T12:32:42.800,0.492,S
197,1236,2025-04-23T12:32:42.360,0.336,S
197,1250,2025-04-23T12:32:42.500,0.875,P
197,1280,2025-04-23T12:32:42.800,0.500,S
198,1232,2025-04-23T12:32:42.320,0.334,S
198,1250,2025-04-23T12:32:42.500,0.879,P
198,1279,2025-04-23T12:32:42.790,0.512,S
199,1233,2025-04-23T12:32:42.330,0.334,S
199,1249,2025-04-23T12:32:42.490,0.883,P
199,1278,2025-04-23T12:32:42.780,0.500,S
200,1233,2025-04-23T12:32:42.330,0.334,S
200,1249,2025-04-23T12:32:42.490,0.891,P
200,1278,2025-04-23T12:32:42.780,0.467,S
201,1233,2025-04-23T12:32:42.330,0.334,S
201,1249,2025-04-23T12:32:42.490,0.891,P
201,1277,2025-04-23T12:32:42.770,0.416,S
202,1233,2025-04-23T12:32:42.330,0.334,S
202,1249,2025-04-23T12:32:42.490,0.891,P
202,1254,2025-04-23T12:32:42.540,0.326,S
202,1276,2025-04-23T12:32:42.760,0.373,S
203,1236,2025-04-23T12:32:42.360,0.336,S
203,1249,2025-04-23T12:32:42.490,0.891,P
203,1254,2025-04-23T12:32:42.540,0.336,S
203,1275,2025-04-23T12:32:42.750,0.352,S
204,1236,2025-04-23T12:32:42.360,0.336,S
204,1248,2025-04-23T12:32:42.480,0.887,P
204,1253,2025-04-23T12:32:42.530,0.348,S
204,1265,2025-04-23T12:32:42.650,0.334,S
205,1232,2025-04-23T12:32:42.320,0.336,S
205,1248,2025-04-23T12:32:42.480,0.883,P
205,1253,2025-04-23T12:32:42.530,0.363,S
205,1265,2025-04-23T12:32:42.650,0.334,S
206,1231,2025-04-23T12:32:42.310,0.336,S
206,1248,2025-04-23T12:32:42.480,0.879,P
206,1253,2025-04-23T12:32:42.530,0.379,S
206,1265,2025-04-23T12:32:42.650,0.334,S
207,1231,2025-04-23T12:32:42.310,0.334,S
207,1248,2025-04-23T12:32:42.480,0.875,P
207,1253,2025-04-23T12:32:42.530,0.404,S
207,1265,2025-04-23T12:32:42.650,0.334,S
208,1232,2025-04-23T12:32:42.320,0.334,S
208,1248,2025-04-23T12:32:42.480,0.871,P
208,1253,2025-04-23T12:32:42.530,0.430,S
208,1274,2025-04-23T12:32:42.740,0.344,S
209,1233,2025-04-23T12:32:42.330,0.334,S
209,1248,2025-04-23T12:32:42.480,0.871,P
209,1254,2025-04-23T12:32:42.540,0.461,S
209,1274,2025-04-23T12:32:42.740,0.357,S
210,1233,2025-04-23T12:32:42.330,0.334,S
210,1248,2025-04-23T12:32:42.480,0.867,P
210,1254,2025-04-23T12:32:42.540,0.512,S
210,1274,2025-04-23T12:32:42.740,0.379,S
211,1233,2025-04-23T12:32:42.330,0.334,S
211,1247,2025-04-23T12:32:42.470,0.867,P
211,1254,2025-04-23T12:32:42.540,0.551,S
211,1274,2025-04-23T12:32:42.740,0.400,S
212,1233,2025-04-23T12:32:42.330,0.334,S
212,1247,2025-04-23T12:32:42.470,0.875,P
212,1254,2025-04-23T12:32:42.540,0.578,S
212,1274,2025-04-23T12:32:42.740,0.426,S
213,1233,2025-04-23T12:32:42.330,0.334,S
213,1247,2025-04-23T12:32:42.470,0.879,P
213,1254,2025-04-23T12:32:42.540,0.602,S
213,1274,2025-04-23T12:32:42.740,0.455,S
214,1233,2025-04-23T12:32:42.330,0.334,S
214,1247,2025-04-23T12:32:42.470,0.887,P
214,1254,2025-04-23T12:32:42.540,0.621,S
214,1274,2025-04-23T12:32:42.740,0.480,S
215,1233,2025-04-23T12:32:42.330,0.334,S
215,1247,2025-04-23T12:32:42.470,0.895,P
215,1254,2025-04-23T12:32:42.540,0.648,S
215,1274,2025-04-23T12:32:42.740,0.496,S
216,1233,2025-04-23T12:32:42.330,0.334,S
216,1247,2025-04-23T12:32:42.470,0.902,P
216,1254,2025-04-23T12:32:42.540,0.668,S
216,1274,2025-04-23T12:32:42.740,0.494,S
217,1233,2025-04-23T12:32:42.330,0.334,S
217,1247,2025-04-23T12:32:42.470,0.906,P
217,1254,2025-04-23T12:32:42.540,0.688,S
217,1274,2025-04-23T12:32:42.740,0.475,S
218,1219,2025-04-23T12:32:42.190,0.303,S
218,1233,2025-04-23T12:32:42.330,0.334,S
218,1247,2025-04-23T12:32:42.470,0.910,P
218,1254,2025-04-23T12:32:42.540,0.707,S
218,1274,2025-04-23T12:32:42.740,0.453,S
219,1219,2025-04-23T12:32:42.190,0.334,S
219,1233,2025-04-23T12:32:42.330,0.334,S
219,1247,2025-04-23T12:32:42.470,0.914,P
219,1254,2025-04-23T12:32:42.540,0.707,S
219,1273,2025-04-23T12:32:42.730,0.432,S
220,1219,2025-04-23T12:32:42.190,0.357,S
220,1233,2025-04-23T12:32:42.330,0.334,S
220,1247,2025-04-23T12:32:42.470,0.918,P
220,1254,2025-04-23T12:32:42.540,0.703,S
220,1273,2025-04-23T12:32:42.730,0.422,S
221,1219,2025-04-23T12:32:42.190,0.371,S
221,1232,2025-04-23T12:32:42.320,0.334,S
221,1247,2025-04-23T12:32:42.470,0.918,P
221,1253,2025-04-23T12:32:42.530,0.699,S
221,1273,2025-04-23T12:32:42.730,0.420,S
222,1219,2025-04-23T12:32:42.190,0.373,S
222,1232,2025-04-23T12:32:42.320,0.334,S
222,1247,2025-04-23T12:32:42.470,0.918,P
222,1253,2025-04-23T12:32:42.530,0.699,S
222,1273,2025-04-23T12:32:42.730,0.418,S
223,1219,2025-04-23T12:32:42.190,0.369,S
223,1232,2025-04-23T12:32:42.320,0.334,S
223,1247,2025-04-23T12:32:42.470,0.914,P
223,1253,2025-04-23T12:32:42.530,0.699,S
223,1273,2025-04-23T12:32:42.730,0.422,S
224,1219,2025-04-23T12:32:42.190,0.361,S
224,1232,2025-04-23T12:32:42.320,0.334,S
224,1247,2025-04-23T12:32:42.470,0.910,P
224,1253,2025-04-23T12:32:42.530,0.703,S
224,1273,2025-04-23T12:32:42.730,0.432,S
225,1219,2025-04-23T12:32:42.190,0.346,S
225,1233,2025-04-23T12:32:42.330,0.334,S
225,1246,2025-04-23T12:32:42.460,0.902,P
225,1253,2025-04-23T12:32:42.530,0.707,S
225,1273,2025-04-23T12:32:42.730,0.441,S
226,1219,2025-04-23T12:32:42.190,0.328,S
226,1233,2025-04-23T12:32:42.330,0.334,S
226,1246,2025-04-23T12:32:42.460,0.902,P
226,1254,2025-04-23T12:32:42.540,0.719,S
226,1273,2025-04-23T12:32:42.730,0.455,S
227,1219,2025-04-23T12:32:42.190,0.318,S
227,1233,2025-04-23T12:32:42.330,0.334,S
227,1246,2025-04-23T12:32:42.460,0.906,P
227,1254,2025-04-23T12:32:42.540,0.730,S
227,1273,2025-04-23T12:32:42.730,0.467,S
228,1219,2025-04-23T12:32:42.190,0.314,S
228,1233,2025-04-23T12:32:42.330,0.334,S
228,1246,2025-04-23T12:32:42.460,0.906,P
228,1254,2025-04-23T12:32:42.540,0.734,S
228,1273,2025-04-23T12:32:42.730,0.479,S
229,1219,2025-04-23T12:32:42.190,0.316,S
